FirstAuthor	CoAuthors	Label	RT	Date	Title	Subject
Xuhui Luo	['Mingkuang Wang', 'Guiping Hu', 'Boqi Weng']	unknown	0	2019-04-06	Seasonal Change of Microbial Diversity and Its Relation with Soil Chemical Properties in Orchard	Microbiology
Jing Yong	['Helmut Bischof', 'Marina Siirin', 'Anne Murphy', 'Roland Malli', 'Randal J. Kaufman']	ambiguous	1	2019-03-27	Mitochondria supply ATP to the ER through a mechanism antagonized by cytosolic Ca2+	Cell
R.L. Mitchell	['M. Coleman', 'P. Davies', 'L. North', 'E.C. Pope', 'C. Pleydell-Pearce', 'W. Harris', 'R. Johnston']	unknown	0	2019-03-27	Macro-to-nano scale investigation of the acorn barnacle Semibalanus balanoides: correlative imaging, biological form and function, and bioinspiration	Systems
Liliana E. Lucca	['Benjamin A. Lerner', 'Danielle DeBartolo', 'Calvin Park', 'Gerald Ponath', 'Khadir Raddassi', 'David A. Hafler', 'David Pitt']	female	1	2019-03-27	Differential Expression of the T cell Inhibitor TIGIT in Glioblastoma and Multiple Sclerosis	Immunology
Angel A. Ku	['Sameera Kongara', 'Hsien-Ming Hu', 'Xin Zhao', 'Di Wu', 'Frank McCormick', 'Allan Balmain', 'Sourav Bandyopadhyay']	ambiguous	1	2019-03-27	Integration of pathway, cellular and genetic context reveals principles of synthetic lethality that affect reproducibility	Cancer
Violetta Weinreb	['Gabriel Weinreb', 'Srinivas Niranj Chandrasekaran', 'Jhuma Das', 'Nikolay V. Dokholyan', 'Charles W. Carter']	female	1	2019-03-27	Thermodynamic impacts of combinatorial mutagenesis on protein conformational stability: precise, high-throughput measurement by Thermofluor	Biophysics
John P. Marken	['Richard M. Murray']	male	0	2019-03-27	Addressable, “Packet-Based” Intercellular Communication through Plasmid Conjugation	Synthetic
Nathan W. Zammit	['Owen M. Siggs', 'Paul Gray', 'Keisuke Horikawa', 'Stephen R. Daley', 'David B. Langley', 'Daniele Cultrone', 'Elisabeth K. Malle', 'Stacey N. Walters', 'Jeanette E. Villanueva', 'Joanna Warren', 'Amanda Russell', 'Mark J. Cowley', 'Velimir Gayevskiy', 'Marcel E. Dinger', 'Claudia Loetsch', 'Cecile King', 'Robert Brink', 'David Zahra', 'Geeta Chaudhri', 'Gunasegaran Karupiah', 'Belinda Whittle', 'Carla Roots', 'Edward Bertram', 'Michiko Yamada', 'Yogesh Jeelall', 'Anselm Enders', 'Benjamin E. Clifton', 'Peter D. Mabbitt', 'Colin J. Jackson', 'Susan R. Watson', 'Craig N. Jenne', 'Lewis L. Lanier', 'Tim Wiltshire', 'Matthew H. Spitzer', 'Garry P. Nolan', 'Frank Schmitz', 'Alan Aderem', 'Benjamin T. Porebski', 'Ashley M. Buckle', 'Derek W. Abbott', 'John B. Ziegler', 'Maria E. Craig', 'Paul Benitez-Aguirre', 'Juliana Teo', 'Melanie Wong', 'Murray P. Cox', 'Wilson Phung', 'Ingrid E. Wertz', 'Daniel Christ', 'Christopher C. Goodnow', 'Shane T. Grey']	male	0	2019-03-27	Phospho-tuning immunity through Denisovan, modern human and mouse TNFAIP3 gene variants	Immunology
Adolfo B. Frias	['Eric J. Hyzny', 'Heather M. Buechel', 'Lisa Beppu', 'Bingxian Xie', 'Michael J. Jurczak', 'Louise M. D’Cruz']	male	0	2019-03-27	The transcriptional regulator Id2 is critical for adipose-resident regulatory T cell differentiation, survival and function	Immunology
L M Nicholas	['M Nagao', 'L C Kusinski', 'D S Fernandez-Twinn', 'L Eliasson', 'S E Ozanne']	unknown	0	2019-03-27	Exposure to maternal obesity per se programs sex-differences in pancreatic islets of the offspring	Physiology
