FirstAuthor	CoAuthors	Label	RT	Date	Title	Subject
Xuhui Luo	['Mingkuang Wang', 'Guiping Hu', 'Boqi Weng']	unknown	0	2019-04-06	Seasonal Change of Microbial Diversity and Its Relation with Soil Chemical Properties in Orchard	Microbiology
Diptavo Dutta	['Sarah A. Gagliano Taliun', 'Joshua S. Weinstock', 'Matthew Zawistowski', 'Carlo Sidore', 'Lars G. Fritsche', 'Francesco Cucca', 'David Schlessinger', 'Gonçalo R. Abecasis', 'Chad M. Brummett', 'Seunggeun Lee']	unknown	0	2019-03-30	Meta-MultiSKAT: Multiple phenotype meta-analysis for region-based association test	Genetics
Yusuke Takehana	['Margot Zahm', 'Cédric Cabau', 'Christophe Klopp', 'Céline Roques', 'Olivier Bouchez', 'Cécile Donnadieu', 'Celia Barrachina', 'Laurent Journot', 'Mari Kawaguchi', 'Shigeki Yasumasu', 'Satoshi Ansai', 'Kiyoshi Naruse', 'Koji Inoue', 'Chuya Shinzato', 'Manfred Schartl', 'Yann Guiguen', 'Amaury Herpin']	male	0	2019-03-29	Genome sequence of the euryhaline Javafish medaka, Oryzias javanicus: a small aquarium fish model for studies on adaptation to salinity	Genomics
Seema C. Namboori	['Patricia Thomas', 'Ryan Ames', 'Lawrence O. Garrett', 'Craig R. G. Willis', 'Lawrence W. Stanton', 'Akshay Bhinge']	female	1	2019-03-29	Single cell transcriptomics identifies master regulators of dysfunctional pathways in SOD1 ALS motor neurons	Genomics
Raffaele Tucciarelli	['Moritz F. Wurm', 'Elisa Baccolo', 'Angelika Lingnau']	male	0	2019-03-29	The representational space of observed actions	Neuroscience
Kyle J. Tomek	['Kevin Volkel', 'Alexander Simpson', 'Austin G. Hass', 'Elaine W. Indermaur', 'James Tuck', 'Albert J. Keung']	ambiguous	1	2019-03-29	Driving the scalability of DNA-based information storage systems	Bioengineering
Tasuku Ito	['Haruki Nishio', 'Yoshiaki Tarutani', 'Naoko Emura', 'Mie N. Honjo', 'Atsushi Toyoda', 'Asao Fujiyama', 'Tetsuji Kakutani', 'Hiroshi Kudoh']	male	0	2019-03-29	Seasonal stability and dynamics of DNA methylation in plants in a natural environment	Plant
Florian A. Schober	['Ilian Atanassov', 'David Moore', 'Anna Wedell', 'Christoph Freyer', 'Anna Wredenberg']	male	0	2019-03-29	Versatile proteome labelling in fruit flies with SILAF	Molecular
Philippos Demetriou	['Enas Abu-Shah', 'Sarah McCuaig', 'Viveka Mayya', 'Salvatore Valvo', 'Kseniya Korobchevskaya', 'Matthias Friedrich', 'Elizabeth Mann', 'Lennard YW Lee', 'Thomas Starkey', 'Mikhail A. Kutuzov', 'Jehan Afrose', 'Anastasios Siokis', 'Oxford IBD Cohort Investigators', 'Michael Meyer-Hermann', 'David Depoil', 'Michael L. Dustin']	male	0	2019-03-29	CD2 expression acts as a quantitative checkpoint for immunological synapse structure and T-cell activation	Immunology
Marla Markowski-Lindsay	['Mark E. Borsuk', 'Brett J. Butler', 'Matthew J. Duveneck', 'Jonathan Holt', 'David B. Kittredge', 'Danelle Laflower', 'Meghan Graham MacLean', 'David Orwig', 'Jonathan R. Thompson']	female	1	2019-03-29	Compounding the disturbance: Family forest owner reactions to invasive forest insects	Ecology
