FirstAuthor	CoAuthors	Label	RT	Date	Title	Subject
Vanessa M. Puñal	['Caitlin E. Paisley', 'Federica S. Brecha', 'Monica A. Lee', 'Robin M. Perelli', 'Emily G. O’Koren', 'Caroline R. Ackley', 'Daniel R. Saban', 'Benjamin E. Reese', 'Jeremy N. Kay']	female	1	2019-04-03	Large-scale death of retinal astrocytes during normal development mediated by microglia	Neuroscience
Ilmatar Rooda	['Birgitta Kaselt', 'Andres Salumets', 'Agne Velthut-Meikas']	unknown	0	2019-04-03	MicroRNAs expressed from FSHR and aromatase genes target important ovarian functions	Molecular
J. A. Southgate	['M. J. Bull', 'C. M. Brown', 'J. Watkins', 'S. Corden', 'B. Southgate', 'C. Moore', 'T. R. Connor']	unknown	0	2019-04-03	Influenza Classification from Short Reads with VAPOR Facilitates Robust Mapping Pipelines and Zoonotic Strain Detection for Routine Surveillance Applications	Bioinformatics
John C. Rose	['Nicholas A. Popp', 'Christopher D. Richardson', 'Jason J. Stephany', 'Julie Mathieu', 'Cindy T. Wei', 'Jacob E. Corn', 'Dustin J. Maly', 'Douglas M. Fowler']	male	0	2019-04-03	Suppression of unwanted CRISPR/Cas9 editing by co-administration of catalytically inactivating truncated guide RNAs	Molecular
Ming Yang	['Andrew D. James', 'Rakesh Suman', 'Richard Kasprowicz', 'Michaela Nelson', 'Peter J. O’Toole', 'William J. Brackenbury']	ambiguous	1	2019-04-03	Voltage-dependent activation of Rac1 by Nav1.5 channels promotes cell migration	Cell
Nishant Mehta	['Sainiteesh Maddineni', 'Irimpan I. Mathews', 'Andres Parra Sperberg', 'Po-Ssu Huang', 'Jennifer R. Cochran']	unknown	0	2019-04-03	Structure and Functional Binding Epitope of V-domain Ig Suppressor of T-cell Activation (VISTA)	Cancer
Georg Kuenze	['Jens Meiler']	male	0	2019-04-03	Protein structure prediction using sparse NOE and RDC restraints with Rosetta in CASP13	Biophysics
Georg Kuenze	['Richard Bonneau', 'Julia Koehler Leman', 'Jens Meiler']	male	0	2019-04-03	Integrative protein modeling in RosettaNMR from sparse paramagnetic restraints	Biophysics
Carlos Martí-Gómez	['Enrique Lara-Pezzi', 'Fátima Sánchez-Cabo']	male	0	2019-04-03	dSreg: A bayesian model to integrate changes in splicing and RNA binding protein activity	Bioinformatics
Purbaj Pant	['Ravi José Tristão Ramos', 'Crina-Maria Ionescu', 'Jaroslav Koča']	unknown	0	2019-04-03	Charge-perturbation dynamics — a new avenue towards in silico protein folding	Bioinformatics
Lei Wang	['Yi Zhuo', 'Zhengwen He', 'Ying Xia', 'Ming Lu']	ambiguous	1	2019-04-03	Potential role of heat shock protein 90 in regulation of hyperthermia-driven differentiation of neural stem cells	Cell
Markus Reischl	['Mazin Jouda', 'Neil MacKinnon', 'Erwin Fuhrer', 'Natalia Bakhtina', 'Andreas Bartschat', 'Ralf Mikut', 'Jan G. Korvink']	male	0	2019-04-03	Motion prediction enables simulated MR-imaging of freely moving model organisms	Systems
Yifei Wang	['Jennifer B. Rattray', 'Stephen A. Thomas', 'James Gurney', 'Sam P. Brown']	unknown	0	2019-04-03	In silico bacteria evolve robust cooperation via complex quorum-sensing strategies	Microbiology
Xiaoyan Li	['Nathaniel D. Osgood']	unknown	0	2019-04-03	Applying particle filtering in complex compartmental models of pre-vaccination pertussis	Epidemiology
Rosemary Hartman	['Stacy Sherman', 'Dave Contreras', 'Alison Furler', 'Ryan Kok']	female	1	2019-04-03	Characterizing macroinvertebrate community composition and abundance in freshwater tidal wetlands of the Sacramento-San Joaquin Delta	Ecology
Susana Pallarés	['Raquel Colado', 'Toni Pérez-Fernández', 'Thomas Wesener', 'Ignacio Ribera', 'David Sánchez-Fernández']	female	1	2019-04-03	Heat tolerance and acclimation capacity in unrelated subterranean arthropods living under common and stable thermal conditions	Ecology
Ren-Yi Sun	['Michael H. Heggeness', 'Tanghong Jia', 'Sunaina Shrestha', 'Bradley Dart', 'Shang-You Yang']	unknown	0	2019-04-03	Pluripotent Stem Cells Can Be Isolated from Human Peripheral Nerves after in vitro BMP-2 Stimulation	Cell
Madeline S. Cappelloni	['Sabyasachi Shivkumar', 'Ralf M. Haefner', 'Ross K. Maddox']	female	1	2019-04-03	Improvement in auditory spatial discrimination from ambiguous visual stimuli is not explained by ideal observer causal inference	Animal
Petra T. Edwards	['Susan J. Hazel', 'Matthew Browne', 'James Serpell', 'Michelle L. McArthur', 'Bradley P. Smith']	female	1	2019-04-03	Investigating risk factors that predict a dog’s fear during veterinary visits	Animal
J Kyle Medley	['Joseph Hellerstein', 'Herbert M Sauro']	unknown	0	2019-04-03	libsbmljs — Enabling Web–Based SBML Tools	Systems
Hayley M. Dorfman	['Samuel J. Gershman']	female	1	2019-04-03	Controllability Governs the Balance Between Pavlovian and Instrumental Action Selection	Neuroscience
Varun N. Srinivasan	['Guangyu Li', 'Dongqi Wang', 'Nicholas B. Tooker', 'Zihan Dai', 'Annalisa Onnis-Hayden', 'Ameet Pinto', 'April Z. Gu']	unknown	0	2019-04-03	Oligotyping and Genome-Resolved Metagenomics Reveal Distinct Candidatus Accumulibacter Communities in Full-Scale Side-Stream versus Conventional Enhanced Biological Phosphorus Removal (EBPR) Configurations	Microbiology
Jaaziel E. García-Hernández	['Nicholas M. Hammerman', 'Juan J. Cruz-Motta', 'Nikolaos V. Schizas']	unknown	0	2019-04-03	Associated organisms inhabiting the calcareous sponge Clathrina lutea in La Parguera Natural Reserve, Puerto Rico	Ecology
Debajyoti Sinha	['Pradyumn Sinha', 'Ritwik Saha', 'Sanghamitra Bandyopadhyay', 'Debarka Sengupta']	unknown	0	2019-04-03	dropClust2: An R package for resource efficient analysis of large scale single cell RNA-Seq data	Bioinformatics
Brian Powers	['Joel E. Kleinman', 'Thomas M. Hyde', 'Olusola Ajilore', 'Alex Leow', 'Monsheel S. Sodhi']	male	0	2019-04-03	Differential expression of glutamate transporters and monoaminergic genes in major depression and suicide	Pharmacology
Marte Roel Lesur	['Marieke Lieve Weijs', 'Colin Simon', 'Oliver Alan Kannape', 'Bigna Lenggenhager']	female	1	2019-04-03	Achronopresence: how temporal visuotactile and visuomotor mismatches modulate embodiment	Neuroscience
Geon Kim	['Daewoong Ahn', 'Minhee Kang', 'YoungJu Jo', 'Donghun Ryu', 'Hyeonjung Kim', 'Jinyeop Song', 'Jea Sung Ryu', 'Gunho Choi', 'Hyun Jung Chung', 'Kyuseok Kim', 'Doo Ryeon Chung', 'In Young Yoo', 'Hee Jae Huh', 'Hyunseok Min', 'Nam Yong Lee', 'YongKeun Park']	unknown	0	2019-04-03	Rapid and label-free identification of individual bacterial pathogens exploiting three-dimensional quantitative phase imaging and deep learning	Microbiology
Liangying Yin	['Carlos K.L. Chau', 'Pak-Chung Sham', 'Hon-Cheong So']	unknown	0	2019-04-03	Uncovering complex disease subtypes by integrating clinical data and imputed transcriptome from genome-wide association studies: Applications in psychiatry and cardiovascular medicine	Genetics
Yun-Ching Chen	['Abhilash Suresh', 'Chingiz Underbayev', 'Clare Sun', 'Komudi Singh', 'Fayaz Seifuddin', 'Adrian Wiestner', 'Mehdi Pirooznia']	unknown	0	2019-04-03	IKAP - Identifying K mAjor cell Population groups in single-cell RNA-seq analysis	Bioinformatics
Shengquan Chen	['Yong Wang', 'Rui Jiang']	unknown	0	2019-04-03	OPENANNO: annotating genomic regions with chromatin accessibility	Bioinformatics
Anthony M. Mustoe	['Nicole Lama', 'Patrick S. Irving', 'Samuel W. Olson', 'Kevin M. Weeks']	male	0	2019-04-03	RNA base pairing complexity in living cells visualized by correlated chemical probing	Biochemistry
Emily A. Jones	['Anna K. Gillespie', 'Seo Yeon Yoon', 'Loren M. Frank', 'Yadong Huang']	female	1	2019-04-02	Early Hippocampal Sharp-Wave Ripple Deficits Predict Later Learning and Memory Impairments in an Alzheimer’s Disease Mouse Model	Neuroscience
Stijn A. Nuiten	['Andrés Canales-Johnson', 'Lola Beerendonk', 'Nutsa Nanuashvili', 'Johannes J. Fahrenfort', 'Tristan Bekinschtein', 'Simon van Gaal']	male	0	2019-04-02	The brain detects stimulus features, but not stimulus conflict in task-irrelevant sensory input	Neuroscience
Michael J Sheehan	['Polly Campbell', 'Caitlin H Miller']	male	0	2019-04-02	Patterns of urine scent mark pheromone evolution in house mice and relatives (Muridae: Mus)	Evolutionary
Theodor Sperlea	['Lea Muth', 'Roman Martin', 'Christoph Weigel', 'Torsten Waldminghaus', 'Dominik Heider']	male	0	2019-04-02	γBOriS: Identification of Origins of Replication in Gammaproteobacteria using Motif-based Machine Learning	Bioinformatics
Mikhail A. Lebedev	['Nil Adell Mill', 'Núria Armengol Urpí', 'Maria R. Cervera', 'Miguel A.L. Nicolelis']	male	0	2019-04-02	What, if anything, is the true neurophysiological significance of rotational dynamics?	Neuroscience
Paul B. Manis	['Michael R. Kasten', 'Ruili Xie']	male	0	2019-04-02	Classification of Neurons in the Adult Mouse Cochlear Nucleus: Linear Discriminant Analysis	Neuroscience
Maria Cortazar-Chinarro	['Sara Meurling', 'Laurens Schroyens', 'Mattias Siljestam', 'Alex Ritcher-Boix', 'Anssi Laurila', 'Jacob Höglund']	female	1	2019-04-02	Latitudinal MHC variation and haplotype associated differential survival in response to experimental infection of two strains of Batrachochytrium dendrobatitis (Bd-GPL) in common toads	Evolutionary
Emily C. Sales	['Emily L. Heckman', 'Timothy L. Warren', 'Chris Q. Doe']	female	1	2019-04-02	Regulation of subcellular dendritic synapse specificity by axon guidance cues	Neuroscience
Jack G. Hendrix	['David N. Fisher', 'April R. Martinig', 'Stan Boutin', 'Ben Dantzer', 'Jeffrey E. Lane', 'Andrew G. McAdam']	male	0	2019-04-02	Territory acquisition mediates the influence of predators and climate on juvenile red squirrel survival	Ecology
Lorraine A. Draper	['Feargal J. Ryan', 'Marion Dalmasso', 'Pat G. Casey', 'Angela McCann', 'Vimalkumar Velayudhan', 'R. Paul Ross', 'Colin Hill']	female	1	2019-04-02	Autochthonous faecal virome transplantation (FVT) reshapes the murine microbiome after antibiotic perturbation	Microbiology
