FirstAuthor	CoAuthors	Label	RT	Date	Title	Subject
Julia E Werhahn	['Susanna Mohl', 'David Willinger', 'Lukasz Smigielski', 'Alexander Roth', 'Jilly Naaijen', 'Leandra M Mulder', 'Jeffrey C Glennon', 'Pieter J Hoekstra', 'Andrea Dietrich', 'Renee Kleine Deters', 'Pascal M Aggensteiner', 'Nathalie E Holz', 'Sarah Baumeister', 'Tobias Banaschewski', 'Melanie C Saam', 'Ulrike M E Schulze', 'David J Lythgoe', 'Arjun Sethi', 'Michael Craig', 'Mathilde Mastroianni', 'Ilyas Sagar-Ouriaghli', 'Paramala J Santosh', 'Mireia Rosa', 'Nuria Bargallo', 'Josefina Castro-Fornieles', 'Celso Arango', 'Maria J Penzol', 'Marcel P Zwiers', 'Barbara Franke', 'Jan K Buitelaar', 'Susanne Walitza', 'Daniel Brandeis']	female	1	2019-04-04	Different Whole-Brain Functional Connectivity Correlates of Reactive-Proactive Aggression and Callous-Unemotional Traits in Disruptive Children and Adolescents	Neuroscience
Amit Kaushik	['Nicole C. Ammerman', 'Nicole M. Parrish', 'Eric L. Nuermberger']	male	0	2019-04-04	New β-Lactamase Inhibitors Nacubactam and Zidebactam Improve the In Vitro Activity of β-Lactam Antibiotics Against Mycobacterium abscessus Complex Clinical Isolates	Microbiology
Anna S. Nichenko	['W. Michael Southern', 'Anita E. Qualls', 'Alexandra B. Flemington', 'Grant H. Mercer', 'Amelia Yin', 'Hang Yin', 'Jarrod A. Call']	female	1	2019-04-04	Mitochondrial dysfunction and autophagy responses to skeletal muscle stress	Physiology
Elizabeth Wood	['Matthew D Parker', 'Mark J Dunning', 'Sirisha Hesketh', 'Dennis Wang', 'Ryan Pink', 'Carl Fratter']	female	1	2019-04-04	Clinical long-read sequencing of the human mitochondrial genome for mitochondrial disease diagnostics	Genomics
Olivier Gimenez	['Sylvain Gatti', 'Christophe Duchamp', 'Estelle Germain', 'Alain Laurent', 'Fridolin Zimmermann', 'Eric Marboutin']	male	0	2019-04-04	Spatial density estimates of Eurasian lynx (Lynx lynx) in the French Jura and Vosges Mountains	Ecology
Susanne Herbst	['Suzaan Marais', 'Maximiliano G. Gutierrez', 'Simon J Waddell', 'Robert J. Wilkinson', 'Rachel PJ Lai']	female	1	2019-04-04	Elevated LRRK2 and α-synuclein levels in CSF of infectious meningitis patients	Immunology
Chad Liu	['Yumi Konagaya', 'Mingyu Chung', 'Leighton H. Daigh', 'Yilin Fan', 'Hee Won Yang', 'Kenta Terai', 'Michiyuki Matsuda', 'Tobias Meyer']	ambiguous	1	2019-04-04	A parallel cell-cycle entry pathway with inverted G1 signaling and alternate point of no return	Cell
Morten Dencker Schostag	['Muhammad Zohaib Anwar', 'Carsten Suhr Jacobsen', 'Catherine Larose', 'Timothy M. Vogel', 'Lorrie Maccario', 'Samuel Jacquiod', 'Samuel Faucherre', 'Anders Priemé']	male	0	2019-04-04	Transcriptomic responses to warming and cooling of an Arctic tundra soil microbiome	Microbiology
Yu Fang	['Laura Scott', 'Peter Song', 'Margit Burmeister', 'Srijan Sen']	ambiguous	1	2019-04-04	Genomic Prediction of Depression Risk and Resilience Under Stress	Genomics
Kathryn E. Hatchell	['Qionshi Lu', 'Scott J. Hebbring', 'Erin D. Michos', 'Alexis C. Wood', 'Corinne D. Engelman']	female	1	2019-04-04	Ancestry-specific polygenic scores and SNP heritability of 25(OH)D in African- and European-ancestry populations	Genetics
María Ascensión Villar-Fernández	['Richard Cardoso da Silva', 'Dongqing Pan', 'Elisabeth Weir', 'Annika Sarembe', 'Vivek B. Raina', 'John R. Weir', 'Gerben Vader']	female	1	2019-04-04	A meiosis-specific AAA+ assembly reveals repurposing of ORC during budding yeast gametogenesis	Biochemistry
Benchi Wang	['Joram van Driel', 'Eduard Ort', 'Jan Theeuwes']	unknown	0	2019-04-04	Anticipatory distractor suppression elicited by statistical regularities in visual search	Neuroscience
Claire Cury	['Pierre Maurel', 'Rémi Gribonval', 'Christian Barillot']	ambiguous	1	2019-04-04	A sparse EEG-informed fMRI model for hybrid EEG-fMRI neurofeedback prediction	Neuroscience
Walter Vanzella	['Natalia Grion', 'Daniele Bertolini', 'Andrea Perissinotto', 'Davide Zoccolan']	male	0	2019-04-04	A passive, camera-based head-tracking system for real-time, 3D estimate of head position and orientation in rodents	Neuroscience
Jessica Rexach	['Vivek Swarup', 'Timothy Chang', 'Daniel Geschwind']	female	1	2019-04-04	Dementia risk genes engage gene networks poised to tune the immune response towards chronic inflammatory states	Neuroscience
Bruno Gavinho	['Izadora Volpato Rossi', 'Ingrid Evans-Osses', 'Sigrun Lange', 'Marcel Ivan Ramirez']	male	0	2019-04-04	Peptidylarginine Deiminase inhibition abolishes the production of large extracellular vesicles from Giardia intestinalis, affecting host-pathogen interactions by hindering adhesion to host cells	Microbiology
Maria Gutierrez-Arcelus	['Yuriy Baglaenko', 'Jatin Arora', 'Susan Hannes', 'Yang Luo', 'Tiffany Amariuta', 'Nikola Teslovich', 'Deepak A. Rao', 'Joerg Ermann', 'Helena Jonsson', 'Cristina Naverrete', 'Peter K. Gregersen', 'Tonu Esko', 'Michael B. Brenner', 'Soumya Raychaudhuri']	female	1	2019-04-04	Allele-specific expression changes dynamically during T cell activation in HLA and other autoimmune loci	Genomics
Haloom Rafehi	['David J Szmulewicz', 'Mark F Bennett', 'Nara LM Sobreira', 'Kate Pope', 'Katherine R Smith', 'Greta Gillies', 'Peter Diakumis', 'Egor Dolzhenko', 'Mike Eberle', 'María García Barcina', 'David P Breen', 'Andrew M Chancellor', 'Phillip D Cremer', 'Martin B. Delatycki', 'Brent L Fogel', 'Anna Hackett', 'G. Michael Halmagyi', 'Solange Kapetanovic', 'Anthony Lang', 'Stuart Mossman', 'Weiyi Mu', 'Peter Patrikios', 'Susan L Perlman', 'Ian Rosemargy', 'Elsdon Storey', 'Shaun RD Watson', 'Michael A Wilson', 'David Zee', 'David Valle', 'David J Amor', 'Melanie Bahlo', 'Paul J Lockhart']	unknown	0	2019-04-04	Validation of new tools to identify expanded repeats: an intronic pentamer expansion in RFC1 causes CANVAS	Genetics
Taj Azarian	['Jessica P. Ridgway', 'Zachary Yin', 'Michael Z. David']	unknown	0	2019-04-04	Long-term intrahost evolution of methicillin resistant Staphylococcus aureus among cystic fibrosis patients with respiratory carriage	Evolutionary
Akshara Pande	['Sumeet Patiyal', 'Anjali Lathwal', 'Chakit Arora', 'Dilraj Kaur', 'Anjali Dhall', 'Gaurav Mishra', 'Harpreet Kaur', 'Neelam Sharma', 'Shipra Jain', 'Salman Sadullah Usmani', 'Piyush Agrawal', 'Rajesh Kumar', 'Vinod Kumar', 'Gajendra P.S. Raghava']	unknown	0	2019-04-04	Computing wide range of protein/peptide features from their sequence and structure	Bioinformatics
Will E. Hinckley	['Keykhosrow Keymanesh', 'Jaime A. Cordova', 'Judy A. Brusslan']	male	0	2019-04-04	The HAC1 Histone Acetyltransferase Promotes Leaf Senescence via Regulation of ERF022	Plant
Ramón F. Rodriguez	['Nathan E. Townsend', 'Robert J. Aughey', 'François Billaut']	male	0	2019-04-04	Muscle oxygenation maintained during repeated sprints despite inspiratory muscle loading	Physiology
Catherine E. Hegarty	['Mohan W. Gupta', 'Eric Miller', 'Kevin Terashima', 'Sandra Loo', 'James McCracken', 'James McGough', 'Robert M. Bilder', 'Russell A. Poldrack', 'Adriana Galvan', 'Susan Bookheimer']	female	1	2019-04-04	Symptom Severity in Youths with Attention Deficit Hyperactivity Disorder Associated with Normalizing Effects of Treatment on fMRI Response during a Stop Signal Task	Neuroscience
Dongqi Han	['Erik De Schutter', 'Sungho Hong']	unknown	0	2019-04-04	Lamina-specific neuronal properties promote robust, stable signal propagation in feedforward networks	Neuroscience
Michel-Edwar Mickael	['Marta Pajares', 'Ioana Enache', 'Gina Manda', 'Antonio Cuadrado']	unknown	0	2019-04-04	NRF2 drug repurposing using a question-answer artificial intelligence system	Neuroscience
Aniruddha R. Agnihotri	['Sanyami S. Zunjarrao', 'Mukta Nagare', 'Rakesh S. Joshi']	unknown	0	2019-04-04	Diminution of feeding response in Helicoverpa armigera by inhibition or silencing of sugar gustatory receptor	Molecular
Evan P. Starr	['Erin E. Nuccio', 'Jennifer Pett-Ridge', 'Jillian F. Banfield', 'Mary K. Firestone']	male	0	2019-04-04	Metatranscriptomic reconstruction reveals RNA viruses with the potential to shape carbon cycling in soil	Microbiology
Rui Zhang	['Monica Varela', 'Gabriel Forn-Cuni', 'Vincenzo Torraca', 'Michiel van der Vaart', 'Annemarie H. Meijer']	male	0	2019-04-04	Deficiency in the autophagy modulator Dram1 exacerbates pyroptotic cell death of Mycobacteria-infected macrophages	Immunology
Allen G. Sanderlin	['Cassandra Vondrak', 'Arianna J. Scricco', 'Indro Fedrigo', 'Vida Ahyong', 'Rebecca L. Lamason']	male	0	2019-04-04	RNAi screen reveals a role for PACSIN2 and caveolins during bacterial cell-to-cell spread	Cell
Dhani Dharmaprani	['Madeline Schopp', 'Pawel Kuklik', 'Darius Chapman', 'Anandaroop Lahiri', 'Lukah Dykes', 'Feng Xiong', 'Martin Aguilar', 'Benjamin Strauss', 'Lewis Mitchell', 'Kenneth Pope', 'Christian Meyer', 'Stephan Willems', 'Fadi G. Akar', 'Stanley Nattel', 'Andrew D McGavigan', 'Anand N. Ganesan']	unknown	0	2019-04-04	Renewal theory provides a universal quantitative framework to characterise the continuous regeneration of rotational events in cardiac fibrillation	Physiology
Joseph E. O’Doherty	['Solaiman Shokur', 'Leonel E. Medina', 'Mikhail A. Lebedev', 'Miguel A. L. Nicolelis']	male	0	2019-04-04	Creating a neuroprosthesis for active tactile exploration of textures	Neuroscience
Fritz Lekschas	['Brant Peterson', 'Daniel Haehn', 'Eric Ma', 'Nils Gehlenborg', 'Hanspeter Pfister']	male	0	2019-04-04	Peax: Interactive Visual Pattern Search in Sequential Data Using Unsupervised Deep Representation Learning	Genomics
David A Ray	['Jenna R Grimshaw', 'Michaela K Halsey', 'Jennifer M Korstian', 'Austin B Osmanski', 'Kevin AM Sullivan', 'Kristen A Wolf', 'Harsith Reddy', 'Nicole Foley', 'Richard D Stevens', 'Binyamin Knisbacher', 'Orr Levy', 'Brian Counterman', 'Nathan B Edelman', 'James Mallet']	male	0	2019-04-04	Analysis of 19 Heliconiine Butterflies Shows Rapid TE-based Diversification and Multiple SINE Births and Deaths	Evolutionary
Margaret Linan	['Junwen Wang', 'Valentin Dinu']	female	1	2019-04-04	Pan-Cancer Exploration of mRNA Mediated Dysregulated Pathways in the Cancer Genomics Cloud	Bioinformatics
Viktoria Rätzel	['Britta Werthmann', 'Markus Haas', 'Jan Strube', 'Wolfgang Marwan']	female	1	2019-04-04	Disentangling a Complex Response in Cell Reprogramming and Probing the Waddington Landscape by Automatic Construction of Petri Nets	Systems
Nigel Dao	['Dakota F. Brockway', 'Nicole A. Crowley']	male	0	2019-04-04	Novel characterization of peptidergic release from prefrontal cortical somatostatin neurons	Neuroscience
Marta Swirski	['Netasha Shaikh', 'Amy Chinner', 'Ellen Gaaikema', 'Elizabeth Coulthard']	female	1	2019-04-04	Measuring the relationship between sleep, physical activity and cognition	Neuroscience
J. DeKraker	['J.C. Lau', 'K.M. Ferko', 'A.R. Khan', 'S. Köhler']	unknown	0	2019-04-04	Hippocampal morphology and cytoarchitecture in the 3D BigBrain	Neuroscience
Neil J. Bruce	['Daniele Narzi', 'Daniel Trpevski', 'Siri Camee van Keulen', 'Anu G. Nair', 'Ursula Röthlisberger', 'Rebecca C. Wade', 'Paolo Carloni', 'Jeanette Hellgren Kotaleski']	male	0	2019-04-04	Regulation of adenylyl cyclase 5 in striatal neurons confers the ability to detect coincident neuromodulatory signals	Neuroscience
David Berga	['Xavier Otazu']	male	0	2019-04-04	Modeling Bottom-Up and Top-Down Attention with a Neurodynamic Model of V1	Neuroscience
Hiroki Otaki	['Yuzuru Taguchi', 'Noriyuki Nishida']	male	0	2019-04-04	In silico evidence of unique behaviors of methionine in an in-register parallel beta-sheet amyloid, suggestive of its possible contribution to strain diversity of amyloids	Molecular
HG Hilton	['ND Rubinstein', 'P Janki', 'AT Ireland', 'N Bernstein', 'KM Wright', 'D Finkle', 'B Martin-McNulty', 'M Roy', 'M Smith', 'DM Imai', 'V Jojic', 'R Buffenstein']	unknown	0	2019-04-04	Single-cell transcriptomics of the naked mole-rat reveals unexpected features of mammalian immunity	Immunology
Romuald Laso-Jadart	['Kevin Sugier', 'Emmanuelle Petit', 'Karine Labadie', 'Pierre Peterlongo', 'Christophe Ambroise', 'Patrick Wincker', 'Jean-Louis Jamet', 'Mohammed-Amin Madoui']	male	0	2019-04-04	Linking Allele-Specific Expression And Natural Selection In Wild Populations	Genomics
Jan-Simon Baasner	['Dakota Howard', 'Boas Pucker']	unknown	0	2019-04-04	Influence of neighboring small sequence variants on functional impact prediction	Genomics
Stella Huynh	['Thomas Marcussen', 'François Felber', 'Christian Parisod']	female	1	2019-04-04	Hybridization preceded radiation in diploid wheats	Evolutionary
Daniel S. Maynard	['Zachary R. Miller', 'Stefano Allesina']	ambiguous	1	2019-04-04	Predicting coexistence in experimental ecological communities	Ecology
Isabelle Desloges	['James A. Taylor', 'Jean-Mathieu Leclerc', 'John R. Brannon', 'Andrea Portt', 'John D. Spencer', 'Ken Dewar', 'Gregory T Marczynski', 'Amee Manges', 'Samantha Gruenheid', 'Hervé Le Moual', 'Jenny-Lee Thomassin']	female	1	2019-04-04	Identification and characterization of OmpT-like proteases in uropathogenic Escherichia coli clinical isolates	Microbiology
Jared L. Delahaye	['Benjamin H. Gern', 'Sara B. Cohen', 'Courtney R. Plumlee', 'Shahin Shafiani', 'Michael Y. Gerner', 'Kevin B. Urdahl']	male	0	2019-04-04	BCG-induced T cells shape Mycobacterium tuberculosis infection before reducing the bacterial burden	Immunology
Andrea Gazzola	['Alessandro Balestrieri']	ambiguous	1	2019-04-04	Nutritional ecology provides insights into competitive interactions between closely-related marten species	Zoology
Abhishek Upadhyay	['Michael Brunner', 'Hanspeter Herzel']	unknown	0	2019-04-04	An inactivation switch enables rhythms in a Neurospora clock model	Systems
Leonie JT Balter	['Jos A Bosch', 'Sarah Aldred', 'Mark T Drayson', 'Jet JCS Veldhuijzen van Zanten', 'Suzanne Higgs', 'Jane E Raymond', 'Ali Mazaheri']	female	1	2019-04-04	Unique Neurophysiological Vulnerability of Visual Attention Networks to Acute Inflammation	Neuroscience
Barbara Nicol	['Sara A. Grimm', 'Frederic Chalmel', 'Estelle Lecluze', 'Maëlle Pannetier', 'Eric Pailhoux', 'Elodie Dupin-De-Beyssat', 'Yann Guiguen', 'Blanche Capel', 'Humphrey H.-C. Yao']	female	1	2019-04-04	RUNX1 safeguards the identity of the fetal ovary through an interplay with FOXL2	Developmental
Jack W Shepherd	['R J Greenall', 'M I J Probert', 'Agnes Noy', 'Mark C. Leake']	male	0	2019-04-04	The emergence of sequence-dependent structural motifs in stretched, torsionally constrained DNA	Biophysics
