FirstAuthor	CoAuthors	Label	RT	Date	Title	Subject
Liyan Wang	['Bin Li', 'Xuhua Xiao', 'Xiaoyuan Yi', 'Feifei He']	unknown	0	2019-04-01	Circular RNA circGTIC1 drives gastric TIC self-renewal to initiate gastric tumorigenesis and metastasis	Biochemistry
Vishnudatt Pandey	['Rakesh Kumar Tiwari', 'Rajendra Prasad Ojha', 'Kshatresh Dutta Dubey']	unknown	0	2019-04-01	Does Antibody Stabilize the Ligand Binding in GP120 of HIV-1 Envelope Protein? Evidence from MD Simulation	Biochemistry
Thomas R. Lerner	['Christophe J. Queval', 'Rachel P. Lai', 'Matthew Russell', 'Antony Fearns', 'Daniel J. Greenwood', 'Lucy Collinson', 'Robert J. Wilkinson', 'Maximiliano G. Gutierrez']	male	0	2019-04-01	Mycobacterium tuberculosis cording in the cytosol of live lymphatic endothelial cells	Cell
Valentin Roustan	['Julia Hilscher', 'Marieluise Weidinger', 'Siegfried Reipert', 'Azita Shabrangy', 'Claudia Gebert', 'Bianca Dietrich', 'Georgi Dermendjiev', 'Pierre-Jean Roustan', 'Eva Stoger', 'Verena Ibl']	male	0	2019-03-31	Cytoskeleton members, MVBs and the ESCRT-III HvSNF7s are putative key players for protein sorting into protein bodies during barley endosperm development	Plant
Mark A. Eckert	['Kenneth I. Vaden', 'Dyslexia Data Consortium']	male	0	2018-02-22	Big and Small Cerebral Asymmetries	Neuroscience
Ian D. Coombs	['David Soto', 'Thomas P. McGee', 'Matthew G. Gold', 'Mark Farrant', 'Stuart G. Cull-Candy']	male	0	2019-04-01	Homomeric Q/R edited AMPA receptors conduct when desensitized	Neuroscience
Monica Tambalo	['Maryam Anwar', 'Mohi Ahmed', 'Andrea Streit']	female	1	2019-03-31	FGF signalling regulates enhancer activation during ear progenitor induction	Developmental
George J. Lu	['Li-dek Chou', 'Dina Malounda', 'Amit K. Patel', 'Derek S. Welsbie', 'Daniel L. Chao', 'Tirunelveli Ramalingam', 'Mikhail G. Shapiro']	ambiguous	1	2019-03-31	Biomolecular Contrast Agents for Optical Coherence Tomography	Bioengineering
Jelena Kraft	['Elise Walck-Shannon', 'Colleen Reilly', 'Ann E Stapleton']	female	1	2019-03-31	Integrating case studies into graduate teaching assistant training to improve instruction in biology laboratory courses	Scientific
Yang Wu	['Salil S. Bidaye', 'David Mahringer']	ambiguous	1	2019-03-31	Drosophila female-specific brain neuron elicits persistent position- and direction-selective male-like social behaviors	Neuroscience
Anna Sintsova	['Arwen Frick-Cheng', 'Sara Smith', 'Ali Pirani', 'Sargurunathan Subashchandrabose', 'Evan Snitkin', 'Harry L. T. Mobley']	female	1	2019-03-31	Genetically diverse uropathogenic Escherichia coli adopt a common transcriptional program in patients with urinary tract infections	Microbiology
Klara M. Wanelik	['Joanne S. Griffin', 'Megan Head', 'Fiona C. Ingleby', 'Zenobia Lewis']	female	1	2019-03-31	Breaking barriers: The effect of protected characteristics and their intersectionality on career transition in academics	Scientific
Ranjie Xu	['Andrew Boreland', 'Anthony Posyton', 'Kelvin Kwan', 'Ronald P. Hart', 'Peng Jiang']	unknown	0	2019-03-31	Xenotransplantation of Human PSC-derived Microglia Creates a Chimeric Mouse Brain Model that Recapitulates Features of Adult Human Microglia	Neuroscience
Darren Yeo	['Amrita Srivathsan', 'Rudolf Meier']	male	0	2019-03-31	Mini-barcodes are more suitable for large-scale species discovery in Metazoa than full-length barcodes	Evolutionary
Acheampong Atta-Boateng	['Graeme P. Berlyn']	unknown	0	2019-03-31	Limiting-stress-elimination hypothesis: approach to increase savanna cowpea productivity by stress reduction	Plant
Antonino Zito	['Matthew N. Davies', 'Pei-Chien Tsai', 'Susanna Roberts', 'Stefano Nardone', 'Jordana T. Bell', 'Chloe C. Y. Wong', 'Kerrin S. Small']	male	0	2019-03-31	Heritability of skewed X-inactivation in female twins is tissue-specific and dependent on age	Genetics
Diego Galeano	['Alberto Paccanaro']	male	0	2019-03-31	Predicting the Frequency of Drug Side effects	Bioinformatics
Robert F Hess	['Rebecca Dillon', 'Rifeng Ding', 'Jiawei Zhou']	male	0	2019-03-31	Deficient stereopsis in the normal population revisited: why current clinical stereo tests may not be adequate	Neuroscience
Daniel Gramm Kristensen	['Kristian Sandberg']	ambiguous	1	2019-03-31	An organisational principle for cortical receptive fields	Neuroscience
Holly J. Bowen	['Eric C. Fields', 'Elizabeth A. Kensinger']	ambiguous	1	2019-03-31	Early Reactivation of Emotion in ERPs to Neutral Retrieval Cues	Neuroscience
Félix P. Leiva	['Piero Calosi', 'Wilco C.E.P. Verberk']	male	0	2019-03-31	Scaling of thermal tolerance with body mass and genome size in ectotherms: A comparison between water-and air-breathers	Ecology
Elena Gorokhova	['Giulia Martella', 'Nisha H. Motwani', 'Natalia Y. Tretyakova', 'Brita Sundelin', 'Hitesh V. Motwani']	female	1	2019-03-31	DNA epigenetic marks are linked to reproductive aberrations in amphipods	Ecology
Priyanka Naik	['Siddhant Jaitpal', 'Prasad Shetty', 'Debjani Paul']	female	1	2019-03-31	An integrated one-step assay combining thermal lysis and loop-mediated isothermal DNA amplification (LAMP) in 30 min from E. coli and M. smegmatis cells on a paper substrate	Bioengineering
Suruchi Roychoudhry	['Katelyn Sageman-Furnas', 'Chris Wolverton', 'Heather L. Goodman', 'Peter Grones', 'Jack Mullen', 'Roger Hangarter', 'Jiří Friml', 'Stefan Kepinski']	female	1	2019-03-31	Antagonistic and auxin-dependent phosphoregulation of columella PIN proteins controls lateral root gravitropic setpoint angle in Arabidopsis	Plant
Andreas Nord	['Lars P. Folkow']	male	0	2019-03-31	Ambient temperature effects on stress-induced hyperthermia in Svalbard ptarmigan	Physiology
J.M. Yáñez	['G. Yoshida', 'A. Barria', 'R. Palma-Véjares', 'D. Travisany', 'D. Díaz', 'G. Cáceres', 'M.I. Cádiz', 'M.E. López', 'J.P. Lhorente', 'A. Jedlicki', 'J. Soto', 'D. Salas', 'A. Maass']	unknown	0	2019-03-31	High-throughput single nucleotide polymorphism (SNP) discovery and validation through whole-genome resequencing of hundreds of individuals in Nile tilapia (Oreochromis niloticus)	Genomics
Fabien Moullec	['Laure Velez', 'Philippe Verley', 'Nicolas Barrier', 'Caroline Ulses', 'Pierluigi Carbonara', 'Antonio Esteban', 'Cristina Follesa', 'Michele Gristina', 'Angélique Jadaud', 'Alessandro Ligas', 'Eduardo López Díaz', 'Porzia Maiorano', 'Panagiota Peristeraki', 'Maria Teresa Spedicato', 'Ioannis Thasitis', 'Maria Valls', 'François Guilhaumon', 'Yunne-Jai Shin']	male	0	2019-03-31	Catching the big picture of the Mediterranean Sea biodiversity with an end-to-end model of climate and fishing impacts	Ecology
Sara Matovic	['Aoi Ichiyama', 'Hiroyuki Igarashi', 'Eric W Salter', 'Xie-Fan Wang', 'Mathilde Henry', 'Nathalie Vernoux', 'Marie-Eve Tremblay', 'Wataru Inoue']	female	1	2019-03-31	Stress-induced neuronal hypertrophy decreases the intrinsic excitability in stress habituation	Neuroscience
Eric R. Lucas	['Kirk A. Rockett', 'Amy Lynd', 'John Essandoh', 'Nelson Grisales', 'Brigid Kemei', 'Harun Njoroge', 'Christina Hubbart', 'Emily J. Rippon', 'John Morgan', 'Arjen Van’t Hof', 'Eric O. Ochomo', 'Dominic P. Kwiatkowski', 'David Weetman', 'Martin J. Donnelly']	male	0	2019-03-31	A high throughput multi-locus insecticide resistance marker panel for tracking resistance emergence and spread in Anopheles gambiae	Evolutionary
Ebru Ercan-Herbst	['David C. Schöndorf', 'Annika Behrendt', 'Bernd Klaus', 'Borja Gomez Ramos', 'Christian Weber', 'Dagmar E. Ehrnhoefer']	female	1	2019-03-31	A post-translational modification signature defines changes in soluble tau correlating with oligomerization in early stage Alzheimer’s disease brain	Neuroscience
Lance E. Keller	['Anne-Stéphanie Rueff', 'Jun Kurushima', 'Jan-Willem Veening']	male	0	2019-03-31	Three new integration vectors and fluorescent proteins for use in the opportunistic human pathogen Streptococcus pneumoniae	Microbiology
Pete Chandrangsu	['Xiaojuan Huang', 'John D. Helmann']	male	0	2019-03-31	Activation of a zinc metallochaperone by the alarmone ZTP	Microbiology
Kasit Chatsirisupachai	['Daniel Palmer', 'Susana Ferreira', 'João Pedro de Magalhães']	unknown	0	2019-03-31	A Human Tissue-Specific Transcriptomic Analysis Reveals that Ageing Hinders Cancer and Boosts Cellular Senescence	Cancer
Andrew J. Page	['Sarah Bastkowski', 'Muhammad Yasir', 'A. Keith Turner', 'Thanh Le Viet', 'George M. Savva', 'Mark A. Webber', 'Ian G. Charles']	male	0	2019-03-31	AlbaTraDIS: Comparative analysis of large datasets from parallel transposon mutagenesis experiments	Bioinformatics
Leon M. Aksman	['Marzia A. Scelsi', 'Andre F. Marquand', 'Daniel C. Alexander', 'Sebastien Ourselin', 'Andre Altmann', 'for ADNI']	male	0	2019-03-31	Modeling longitudinal imaging biomarkers with parametric Bayesian multi-task learning	Neuroscience
J. Víctor Moreno-Mayar	['Thorfinn Sand Korneliussen', 'Anders Albrechtsen', 'Jyoti Dalal', 'Gabriel Renaud', 'Rasmus Nielsen', 'Anna-Sapfo Malaspinas']	unknown	0	2019-03-31	A likelihood method for estimating present-day human contamination in ancient DNA samples using low-depth haploid chromosome data	Genomics
Andrew D. Halleran	['Emanuel Flores-Bautista', 'Richard M. Murray']	male	0	2019-03-31	Quantitative characterization of random partitioning in the evolution of plasmid-encoded traits	Evolutionary
Nicole L. Jenkins	['Simon A. James', 'Agus Salim', 'Fransisca Sumardy', 'Terence P. Speed', 'Marcus Conrad', 'Des R. Richardson', 'Ashley I. Bush', 'Gawain McColl']	female	1	2019-03-31	Ferrous-glutathione coupling mediates ferroptosis and frailty in Caenorhabditis elegans	Molecular
Priti Singh	['Ravi K. Patel', 'Nathan Palmer', 'Jennifer K. Grenier', 'Darius Paduch', 'Philipp Kaldis', 'Andrew Grimson', 'John C. Schimenti']	female	1	2019-03-31	CDK2 kinase activity is a regulator of male germ cell fate	Genetics
Silvia Paolucci	['Elena Dalla Benetta', 'Lucia Salis', 'David Doležel', 'Louis van de Zande', 'Leo W. Beukeboom']	female	1	2019-03-31	Latitudinal variation in circadian rhythmicity in Nasonia vitripennis	Evolutionary
David Murray-Stoker	[]	male	0	2019-03-31	Functional diversity plays a role in driving β-diversity: Or does it?	Ecology
Jean Feng	['William S DeWitt', 'Aaron McKenna', 'Noah Simon', 'Amy Willis', 'Frederick A Matsen']	ambiguous	1	2019-03-31	Estimation of cell lineage trees by maximum-likelihood phylogenetics	Bioinformatics
Kiều Mi Trịnh	['Matthew T. Wayland', 'Sudhakaran Prabakaran']	unknown	0	2019-03-31	Behavioural analysis of single-cell aneural ciliate, Stentor roeselii, using machine learning approaches	Animal
Ivan L. Simpson-Kent	['Delia Fuhrmann', 'Joe Bathelt', 'Jascha Achterberg', 'Gesa Sophia Borgeest', 'the CALM Team', 'Rogier A. Kievit']	male	0	2019-03-31	Neurocognitive reorganization between crystallized intelligence, fluid intelligence and white matter microstructure in two age-heterogeneous developmental cohorts	Neuroscience
Sarah L. Eagleman	['Divya Chander', 'Christina Reynolds', 'Nicholas T. Ouellette', 'M. Bruce MacIver']	female	1	2019-03-31	Complexity measures of the electroencephalograph capture loss and recovery of consciousness in patients anesthetized with propofol	Neuroscience
Brittany O’Brien	['Sudha Chaturvedi', 'Vishnu Chaturvedi']	female	1	2019-03-31	Efficacy of antifungal drug combinations against widespread primary resistance, cross-resistance, and multidrug-resistance in Candida auris from New York Hospitals and Healthcare Facilities	Microbiology
Nicola Conci	['Gert Wörheide', 'Sergio Vargas']	female	1	2019-03-31	New non-bilaterian transcriptomes provide novel insights into the evolution of coral skeletomes	Evolutionary
Brandon P. Hedrick	['Samantha A. Cordero', 'Lindsay E. Zanno', 'Christopher Noto', 'Peter Dodson']	male	0	2019-03-31	Quantifying shape, integration, and ecology in avian pedal claws: comparing geometric morphometric and traditional metric approaches	Evolutionary
Hoang V. Dinh	['Patrick F. Suthers', 'Siu Hung Joshua Chan', 'Yihui Shen', 'Tianxia Xiao', 'Anshu Deewan', 'Sujit Sadashiv Jagtap', 'Joshua D. Rabinowitz', 'Christopher V. Rao', 'Huimin Zhao', 'Costas D. Maranas']	male	0	2019-03-31	A comprehensive genome-scale model for Rhodosporidium toruloides IFO0880 accounting for functional genomics and phenotypic data	Systems
Rohan Shah	['B Emma Huang', 'Alex Whan', 'Marcus Newberry', 'Klara Verbyla', 'Matthew K Morell', 'Colin R Cavanagh']	male	0	2019-03-31	The complex genetic architecture of recombination and structural variation in wheat uncovered using a large 8-founder MAGIC population	Plant
Gonzalo Lerner	['Scott Albert', 'Pedro A. Caffaro', 'Jorge I. Villalta', 'Florencia Jacobacci', 'Reza Shadmehr', 'Valeria Della-Maggiore']	male	0	2019-03-31	The origins of anterograde interference in visuomotor adaptation	Neuroscience
Matthew W. Hahn	['Mark S. Hibbins']	male	0	2019-03-31	A three-sample test for introgression	Evolutionary
Matthew Collins	['Farzad Mohajerani', 'Subhadip Ghosh', 'Rajarshi Guha', 'Tae-Hee Lee', 'Peter J. Butler', 'Ayusman Sen', 'Darrell Velegol']	male	0	2019-03-31	Non-uniform Crowding Enhances Transport: Relevance to Biological Environments	Biophysics
Jennifer D. Bowling	['Katherine J. O’ Malley', 'William B. Klimstra', 'Amy L. Hartman', 'Douglas S. Reed']	female	1	2019-03-31	A vibrating mesh nebulizer as an alternative to the Collison 3-jet nebulizer for infectious disease aerobiology	Microbiology
Sarah E. Westrick	['Ryan W. Taylor', 'Stan Boutin', 'Jeffrey E. Lane', 'Andrew G. McAdam', 'Ben Dantzer']	female	1	2019-03-31	Fitness Benefits of a Motivated Mom	Evolutionary
Kelsey McCoy	['Rivkah Rogawski', 'Olivia Stovicek', 'Ann McDermott']	ambiguous	1	2019-03-31	Stability of Nitroxide Biradical TOTAPOL in Biological Samples	Biophysics
Mazharul Islam	['Kowshika Sarker', 'Trisha Das', 'Rezwana Reaz', 'Md. Shamsuzzoha Bayzid']	unknown	0	2019-03-31	STELAR: A statistically consistent coalescent-based species tree estimation method by maximizing triplet consistency	Bioinformatics
Hanyuan Shen	['Zhipeng Qu', 'Yuka Harata-Lee', 'Thazin Nwe Aung', 'Jian Cui', 'Wei Wang', 'R. Daniel Kortschak', 'David L. Adelson']	unknown	0	2019-03-31	Understanding the Mechanistic Contribution of Herbal Extracts in Compound Kushen Injection with Transcriptome Analysis	Pharmacology
H. Soon Gweon	['Liam P. Shaw', 'Jeremy Swann', 'Nicola De Maio', 'Manal AbuOun', 'Alasdair T. M. Hubbard', 'Mike J. Bowes', 'Mark J. Bailey', 'Tim E. A. Peto', 'Sarah J. Hoosdally', 'A. Sarah Walker', 'Robert P. Sebra', 'Derrick W. Crook', 'Muna Anjum', 'Daniel S. Read', 'Nicole Stoesser', 'on behalf of the REHAB consortium']	unknown	0	2019-03-31	The impact of sequencing depth on the inferred taxonomic composition and AMR gene content of metagenomic samples	Microbiology
KA Fawcett	['M Obeidat', 'CA Melbourne', 'N Shrine', 'AL Guyatt', 'C John', 'J Luan', 'A Richmond', 'MR Moksnes', 'R Granell', 'S Weiss', 'M Imboden', 'S May-Wilson', 'P Hysi', 'TS Boutin', 'L Portas', 'C Flexeder', 'SE Harris', 'CA Wang', 'L Lyytikäinen', 'T Palviainen', 'RE Foong', 'D Keidel', 'C Minelli', 'C Langenberg', 'Y Bossé', 'Berge M van den', 'D Sin', 'K Hao', 'A Campbell', 'D Porteous', 'S Padmanabhan', 'BH Smith', 'D Evans', 'S Ring', 'A Langhammer', 'K Hveem', 'C Willer', 'R Ewert', 'B Stubbe', 'N Pirastu', 'L Klaric', 'PK Joshi', 'K Patasova', 'M Massimo', 'O Polasek', 'JM Starr', 'I Rudan', 'T Rantanen', 'K Pietiläinen', 'M Kähönen', 'OT Raitakari', 'GL Hall', 'PD Sly', 'CE Pennell', 'J Kaprio', 'T Lehtimäki', 'V Vitart', 'IJ Deary', 'D Jarvis', 'JF Wilson', 'T Spector', 'N Probst-Hensch', 'N Wareham', 'H Völzke', 'J Henderson', 'D Strachan', 'BM Brumpton', 'C Hayward', 'IP Hall', 'MD Tobin', 'LV Wain']	ambiguous	1	2019-03-31	SNPs associated with HHIP expression have differential effects on lung function in males and females	Genetics
Connor A. Emdin	['Mary Haas', 'Amit V. Khera', 'Krishna Aragam', 'Mark Chaffin', 'Lan Jiang', 'Wei-Qi Wei', 'Qiping Feng', 'Juha Karjalainen', 'Aki Havulinna', 'Tuomo Kiiskinen', 'Alexander Bick', 'Diego Ardissino', 'James G. Wilson', 'Heribert Schunkert', 'Ruth McPherson', 'Hugh Watkins', 'Roberto Elosua', 'Matthew J Bown', 'Nilesh J Samani', 'Usman Baber', 'Jeanette Erdmann', 'Namrata Gupta', 'John Danesh', 'Danish Saleheen', 'Mark Daly', 'Joshua Denny', 'Stacey Gabriel', 'Sekar Kathiresan']	male	0	2019-03-31	A missense variant in Mitochondrial Amidoxime Reducing Component 1 gene and protection against liver disease	Genomics
Marcus Stephenson-Jones	['Christian Bravo-Rivera', 'Sandra Ahrens', 'Alessandro Furlan', 'Carolina Fernandes-Henriques', 'Bo Li']	male	0	2019-03-31	Opposing contributions of GABAergic and glutamatergic ventral pallidal neurons to motivational behaviours	Neuroscience
Sivakumar Vadivel Gnanasundram	['Isabelle C. Kos-Braun', 'Martin Koš']	male	0	2019-03-31	Two molecules of Has1 RNA helicase function simultaneously in the biogenesis of small and large ribosomal subunits	Molecular
Eitan Yaffe	['David A. Relman']	male	0	2019-03-31	Tracking microbial evolution in the human gut using Hi-C	Microbiology
