FirstAuthor	CoAuthors	Label	RT	Date	Title	Subject
Xuhui Luo	['Mingkuang Wang', 'Guiping Hu', 'Boqi Weng']	unknown	0	2019-04-06	Seasonal Change of Microbial Diversity and Its Relation with Soil Chemical Properties in Orchard	Microbiology
Emir Hodzic	['Denise M. Imai', 'Edlin Escobar']	male	0	2019-04-01	The generality of post-antimicrobial treatment persistence of replicatively-attenuated Borrelia burgdorferi in a mouse model	Microbiology
Fu Xu	['Anders S. Byström', 'Marcus J.O. Johansson']	ambiguous	1	2019-04-01	SSD1 suppresses phenotypes induced by the lack of Elongator-dependent tRNA modifications	Genetics
Gen Li	['Dmitry Kolomenskiy', 'Hao Liu', 'Benjamin Thiria', 'Ramiro Godoy-Diana']	female	1	2019-04-01	On the energetics and stability of a minimal fish school	Biophysics
Ray L. Hong	['Metta Riebesell', 'Daniel J. Bumbarger', 'Steven J. Cook', 'Heather R. Carstensen', 'Tahmineh Sarpolaki', 'Luisa Cochella', 'Jessica Castrejon', 'Eduardo Moreno', 'Bogdan Sieriebriennikov', 'Oliver Hobert', 'Ralf J. Sommer']	ambiguous	1	2019-04-01	Evolution of neuronal anatomy and circuitry in two highly divergent nematode species	Neuroscience
Anthony C. Fredericks	['Louisa E. Wallace', 'Tiffany A. Russell', 'Andrew D. Davidson', 'Ana Fernandez-Sesma', 'Kevin Maringer']	male	0	2019-04-01	Aedes aegypti (Aag2)-derived clonal mosquito cell lines reveal the impact of pre-existing persistent infection with the insect-specific bunyavirus Phasi Charoen-like virus on arbovirus replication	Microbiology
Clara Sidor	['Nerea Borreguero-Munoz', 'Georgina C Fletcher', 'Ahmed Elbediwy', 'Hannah Vanyai', 'Oriane Guillermin', 'Barry J Thompson']	female	1	2019-04-01	Mask family proteins ANKHD1 and ANKRD17 regulate YAP nuclear import, stability and phase separation	Developmental
Patricia Mendonca	['Ainsley Horton', 'David Bauer', 'Samia Messeha', 'Karam F.A. Soliman']	female	1	2019-04-01	The inhibitory effects of butein on cell proliferation and TNF-α-induced CCL2 release in racially different triple negative breast cancer cells	Cancer
Jennifer A. Hollywood	['Aneta Przepiorski', 'Patrick T. Harrison', 'Ernst J. Wolvetang', 'Alan J. Davidson', 'Teresa M. Holm']	female	1	2019-04-01	Use of human iPSCs and kidney organoids to develop a cysteamine/mTOR inhibition combination therapy to treat cystinosis	Pathology
Son Ta Dinh	['Moritz M. Nickel', 'Laura Tiemann', 'Elisabeth S. May', 'Henrik Heitmann', 'Vanessa D. Hohn', 'Günther Edenharter', 'Daniel Utpadel-Fischler', 'Thomas R. Tölle', 'Paul Sauseng', 'Joachim Gross', 'Markus Ploner']	male	0	2019-04-01	Brain dysfunction in chronic pain patients assessed by resting-state electroencephalography	Neuroscience
Thomas Chapman	['Daniele Corridoni', 'Seiji Shiraishi', 'Sumeet Pandey', 'Anna Aulicino', 'Simon Wigfield', 'Maria do Carmo Costa', 'Marie-Laëtitia Thézénas', 'Henry Paulson', 'Roman Fischer', 'Benedikt M Kessler', 'Alison Simmons']	male	0	2019-04-01	Ataxin-3 links NOD2 and TLR2 mediated innate immune sensing and metabolism in myeloid cells	Immunology
Daniel Runcie	['Hao Cheng']	ambiguous	1	2019-04-01	Pitfalls and Remedies for Cross Validation with Multi-trait Genomic Prediction Methods	Genetics
M. Florencia Camus	['Matthew D.W. Piper', 'Max Reuter']	unknown	0	2019-04-01	Sex-specific transcriptomic responses to changes in the nutritional environment	Evolutionary
Juan G. Diaz Ochoa	[]	male	0	2019-04-01	A Theory of Intrinsic Bias in Biology and its Application in Machine Learning and Bioinformatics	Bioinformatics
Thomas Bradley	['Simon Moxon']	male	0	2019-04-01	FilTar: Using RNA-Seq data to improve microRNA target prediction accuracy in animals	Bioinformatics
Sepp Kollmorgen	['William T Newsome', 'Valerio Mante']	male	0	2019-04-01	Spatial and temporal structure of choice representations in primate prefrontal cortex	Neuroscience
Christian M.K. Sieber	['Blair G. Paul', 'Cindy J. Castelle', 'Ping Hu', 'Susannah G. Tringe', 'David L. Valentine', 'Gary L. Andersen', 'Jillian F. Banfield']	ambiguous	1	2019-04-01	Unusual metabolism and hypervariation in the genome of a Gracilibacteria (BD1-5) from an oil degrading community	Microbiology
Ngang Heok Tang	['Chii Shyang Fong', 'Hirohisa Masuda', 'Isabelle Jourdain', 'Masashi Yukawa', 'Takashi Toda']	unknown	0	2019-04-01	Generation of Temperature Sensitive Mutations with Error-Prone PCR in a Gene Encoding a Component of the Spindle Pole Body in Fission Yeast	Genetics
Chintan J. Joshi	['Song-Min Schinn', 'Anne Richelle', 'Isaac Shamie', 'Eyleen J. O’Rourke', 'Nathan E. Lewis']	unknown	0	2019-04-01	StanDep: capturing transcriptomic variability improves context-specific metabolic models	Systems
Farshid Salimijazi	['Erika Parra', 'Buz Barstow']	male	0	2019-04-01	Electrical Energy Storage with Engineered Biological Systems	Synthetic
Yumi Ono	['Koyu Hori', 'Hiroki Ora', 'Yuki Hirobe', 'Yufeng Mao', 'Hiroyuki Sawada', 'Akira Inaba', 'Satoshi Orimo', 'Yoshihiro Miyake']	female	1	2019-04-01	Inertial Measurement Unit-Based Estimation of Foot Trajectory for Clinical Gait Analysis	Physiology
Michael Habig	['Sharon Marie Bahena-Garrido', 'Friederike Barkmann', 'Janine Haueisen', 'Eva Holtgrewe Stukenbrock']	male	0	2019-04-01	The transcription factor Zt107320 affects the dimorphic switch, growth and virulence of the fungal wheat pathogen Zymoseptoria tritici	Microbiology
Ulaş Işıldak	['Mehmet Somel', 'Janet Thornton', 'Handan Melike Dönertaş']	male	0	2019-04-01	Meta-Analysis of the Gene Expression Profiles of Aging Brain Reveals Consistent Increase in Heterogeneity	Genomics
Géza Meszéna	['Ulf Dieckmann']	male	0	2019-04-01	Three-phase transitions to reproductive isolation: The roles of utilization mismatch and residual selection	Evolutionary
Kevin Murray	['Jasmine Janes', 'Helen Bothwell', 'Ashley Jones', 'Rose Andrew', 'Justin Borevitz']	male	0	2019-04-01	Landscape drivers of genomic diversity and divergence in woodland Eucalyptus	Evolutionary
S. Rinehart	['J.D. Long']	unknown	0	2019-04-01	Conspecifics, not plant reproductive tissues, reduce omnivore prey consumption	Ecology
Diego A. Vargas-Blanco	['Ying Zhou', 'Luis Gutierrez Zamalloa', 'Tim Antonelli', 'Scarlet S. Shell']	male	0	2019-04-01	mRNA Degradation Rates Are Coupled to Metabolic Status in Mycobacteria	Microbiology
Ramón Cervantes-Rivera	['Sophie Tronnet', 'Andrea Puhar']	male	0	2019-04-01	Complete genome sequence and annotation of the laboratory reference strain Shigella flexneri serovar 5a M90T and genome-wide transcription start site determination	Microbiology
Frédéric Barraquand	['Olivier Gimenez']	male	0	2019-04-01	Integrating multiple data sources to fit matrix population models for interacting species	Ecology
Mohammad AlAdwani	['Serguei Saavedra']	male	0	2019-04-01	Is the addition of higher-order interactions in ecological models increasing the understanding of ecological dynamics?	Ecology
Renata do Socorro Barbosa Chaves	['Rosany Lopes Martins', 'Alex Bruno Lobato Rodrigues', 'Érica de Menezes Rabelo', 'Ana Luzia Ferreira Farias', 'Camila Mendes da Conceição Vieira Araújo', 'Talita Fernandes Sobral', 'Allan Kardec Ribeiro Galardo', 'Sheylla Susan Moreira da Silva de Almeida']	female	1	2019-04-01	Larvicidal evaluation of the Origanum majorana L. Essential Oil against the larvae of the Aedes aegypti mosquito	Physiology
Na Fei	['Beatriz Peñalver Bernabé', 'Louise Lie', 'Danny Baghdan', 'Kweku Bedu-Addo', 'Jacob Plange-Rhule', 'Terrence E. Forrester', 'Estelle V. Lambert', 'Pascal Bovet', 'Neil Gottel', 'Walter Riesen', 'Wolfgang Korte', 'Amy Luke', 'Stephanie A. Kliethermes', 'Brian T. Layden', 'Jack A. Gilbert', 'Lara R. Dugas']	ambiguous	1	2019-04-01	The human microbiota is associated with cardiometabolic risk across the epidemiologic transition	Microbiology
Pengfei Han	['Xiaohui Lin', 'Wen Zhang', 'Guocheng Wang']	unknown	0	2019-04-01	Projected changes of alpine grassland carbon dynamics in response to climate change and elevated CO2 concentrations under Representative Concentration Pathways (RCP) scenarios	Ecology
Rajesh R. Nair	['Debbie Piktel', 'Patrick Thomas', 'Quincy A. Hathaway', 'Stephanie L. Rellick', 'Pushkar Saralkar', 'Karen H. Martin', 'Werner J. Geldenhuys', 'John M. Hollander', 'Laura F. Gibson']	male	0	2019-04-01	Targeting the dysfunctional mitochondrial respiration in drug resistant B-cell acute lymphoblastic leukemia	Cancer
Manal Abdulaziz Binobead	['Nawal Abdullah Al Badr', 'Wahidah Hazzaa Al-Qahtani', 'Sahar Abdulaziz AlSedairy', 'Tarfa Ibrahim Albrahim', 'Maha Hussain Alhussain', 'Tahani Ali Aljurbua', 'Shaista Arzoo', 'Wedad Saeed Al-Qahtani']	female	1	2019-04-01	Thyroid hormone levels associate with insulin resistance in obese women with metabolic syndrome in Saudi Arabia: A cross-sectional study	Biochemistry
Xinhong Liu	['Yang Wang', 'Qin Tan', 'Yunqi He', 'Xin Zhao']	unknown	0	2019-04-01	Risk variant in miR-544a binding site in CCDC170 is associated with osteoporosis	Genetics
Chih-Hang Wu	['Sophien Kamoun']	unknown	0	2019-04-01	Tomato Prf requires NLR helpers NRC2 and NRC3 to confer resistance against the bacterial speck pathogen Pseudomonas syringae pv. tomato	Plant
Lori Borgal	['Margaux Quiniou', 'James Wakefield']	female	1	2019-04-01	Tissue specific vulnerability to mitotic defects caused by mutations in the Drosophila ASPM homologue, Asp	Developmental
Alok Maity	['Roy Wollman']	male	0	2019-04-01	Optimal decoding of NFkB signaling dynamic	Systems
Azadeh Aryan	['Michelle Anderson', 'James K. Biedler', 'Yumin Qi', 'Justin M. Overcash', 'Anastasia N. Naumenko', 'Maria V. Sharakhova', 'Chunhong Mao', 'Zach N. Adelman', 'Zhijian Tu']	unknown	0	2019-04-01	Nix confers heritable sex-conversion in Aedes aegypti and myo-sex is needed for male flight	Developmental
Zainab Ahdash	['Euan Pyle', 'William J. Allen', 'Robin A. Corey', 'Ian Collinson', 'Argyris Politis']	female	1	2019-04-01	HDX-MS reveals nucleotide-regulated, anti-correlated opening and closure of SecA and SecY channels of the bacterial translocon	Biophysics
