FirstAuthor	CoAuthors	Label	RT	Date	Title	Subject
Xuhui Luo	['Mingkuang Wang', 'Guiping Hu', 'Boqi Weng']	unknown	0	2019-04-06	Seasonal Change of Microbial Diversity and Its Relation with Soil Chemical Properties in Orchard	Microbiology
Guoliang Qian	['Shifang Fei', 'Michael Y. Galperin']	unknown	0	2019-03-26	Two forms of phosphomannomutase in gammaproteobacteria: The overlooked membrane-bound form of AlgC is required for twitching motility of Lysobacter enzymogenes	Microbiology
Aaron M. New	['Ben Lehner']	male	0	2019-03-26	Combinatorial genetic analysis of a regulatory network reveals the importance of higher order epistasis for gene deletion phenotypes	Genetics
Syuan-Jyun Sun	['Rebecca M. Kilner']	unknown	0	2019-03-26	Mutualistic interactions with phoretic mites Poecilochirus carabi expand the realised thermal niche of the burying beetle Nicrophorus vespilloides	Ecology
Hannah L.H. Green	['Malou Zuidscherwoude', 'Steven G. Thomas']	female	1	2019-03-26	The FH2 domain of formin proteins is critical for platelet cytoskeletal dynamics	Cell
Pavel Bouchal	['Olga T. Schubert', 'Jakub Faktor', 'Lenka Capkova', 'Hana Imrichova', 'Karolina Zoufalova', 'Vendula Paralova', 'Roman Hrstka', 'Yansheng Liu', 'H. Alexander Ebhardt', 'Eva Budinska', 'Rudolf Nenutil', 'Ruedi Aebersold']	male	0	2019-03-26	Breast cancer classification based on proteotypes obtained by SWATH mass spectrometry	Cancer
René L Warren	['Lauren Coombe', 'Hamid Mohamadi', 'Jessica Zhang', 'Barry Jaquish', 'Nathalie Isabel', 'Steven JM Jones', 'Jean Bousquet', 'Joerg Bohlmann', 'Inanç Birol']	male	0	2019-03-26	ntEdit: scalable genome assembly polishing	Bioinformatics
Bo Zhou	['Yang Wang', 'Yiwu Yan', 'Javier Mariscal', 'Dolores Di Vizio', 'Michael R. Freeman', 'Wei Yang']	ambiguous	1	2019-03-26	Low-background Acyl-biotinyl Exchange Largely Eliminates the Co-isolation of Non-S-acylated Proteins and Enables Deep S-acylproteomic Analysis	Biochemistry
Nailde de Paula Silva	['Elane Araújo Andrade', 'Denis Cardoso', 'Ruth de Souza Guimarães', 'Mateus Borges Silva', 'Kelly Karoline Gomes Nascimento', 'Diego de Arruda Xavier', 'Isis Abel']	unknown	0	2019-03-26	Crab fisherman communities in north Brazil: a new high risk population for vampire bat rabies	Epidemiology
Chathurika Wijewardana	['K. Raja Reddy', 'L. Jason Krutz', 'Wei Gao', 'Nacer Bellaloui']	unknown	0	2019-03-26	Poor seed quality, reduced germination, and decreased seedling vigor in soybean is linked to exposure of the maternal lines to drought stress	Plant
Adoonsook Dome	['Chia-Yuan Chang', 'Wongrueng Aunnop', 'Pumas Chayakorn']	unknown	0	2019-03-26	A Simple way to Improve a Conventional A/O-MBR for High Simultaneous Carbon and Nutrients Removal from Synthetic Municipal Wastewater	Microbiology
Dhas D Benet Bosco	['K Rajalakshmi', 'S Suganya', 'P Pavani', 'K Yaswanth']	unknown	0	2019-03-26	Computational prediction and analysis of very high risk single nucleotide polymorphisms in human cytochrome P450 oxidoreductase gene	Genomics
Saumya Ranjan Barik	['Elssa Pandit', 'Shakti Prakash Mohanty', 'Sharat Kumar Pradhan', 'Trilochan Mohapatra']	unknown	0	2019-03-26	Genetic Mapping Of Morpho-Physiological Traits Involved During Reproductive Stage Drought Tolerance In Rice	Genetics
